STRAIN,A_1,A_2,B_1,B_2
EC958-1000bp-parsed,30,32,38,42
STRAIN,A_1,A_2,B_1,B_2
EC958-100bp-parsed,38,41,42,41
STRAIN,A_1,A_2,B_1,B_2
EC958-2000bp-parsed,40,38,30,36
STRAIN,A_1,A_2,B_1,B_2
EC958-3000bp-parsed,43,40,30,29
STRAIN,A_1,A_2,B_1,B_2
EC958-500bp-parsed,41,48,39,31
STRAIN,A_1,A_2,B_1,B_2
EC958-700bp-parsed,33,36,32,41
